Zeit;overnight;break
00:00:00;0.041837;0.007712
00:15:00;0.036271;0.000000
00:30:00;0.031054;0.000000
00:45:00;0.026186;0.000000
01:00:00;0.022709;0.000000
01:15:00;0.019233;0.000000
01:30:00;0.015771;0.000000
01:45:00;0.013150;0.000000
02:00:00;0.011172;0.000000
02:15:00;0.009194;0.000000
02:30:00;0.007333;0.000000
02:45:00;0.005938;0.000000
03:00:00;0.004893;0.000000
03:15:00;0.003848;0.000000
03:30:00;0.003385;0.000000
03:45:00;0.002887;0.000000
04:00:00;0.002243;0.000000
04:15:00;0.001437;0.000000
04:30:00;0.000956;0.000000
04:45:00;0.000000;0.001118
05:00:00;0.000000;0.002256
05:15:00;0.000000;0.002340
05:30:00;0.000000;0.001615
05:45:00;0.000000;0.002185
06:00:00;0.000000;0.001542
06:15:00;0.000000;0.001464
06:30:00;0.000000;0.001792
06:45:00;0.000000;0.000986
07:00:00;0.000000;0.001314
07:15:00;0.000000;0.002207
07:30:00;0.000000;0.002373
07:45:00;0.000000;0.003914
08:00:00;0.000000;0.006831
08:15:00;0.000000;0.008616
08:30:00;0.000000;0.010319
08:45:00;0.000000;0.023920
09:00:00;0.000000;0.030156
09:15:00;0.000000;0.038172
09:30:00;0.000000;0.043922
09:45:00;0.000000;0.080672
10:00:00;0.000000;0.086422
10:15:00;0.000000;0.096219
10:30:00;0.000000;0.102455
10:45:00;0.000000;0.138961
11:00:00;0.000000;0.125610
11:15:00;0.000000;0.124643
11:30:00;0.000000;0.117848
11:45:00;0.000000;0.091466
12:00:00;0.000000;0.092279
12:15:00;0.000000;0.088883
12:30:00;0.000000;0.088320
12:45:00;0.000000;0.082415
13:00:00;0.000000;0.079586
13:15:00;0.000596;0.080318
13:30:00;0.001248;0.080403
13:45:00;0.001818;0.076926
14:00:00;0.002793;0.074906
14:15:00;0.004658;0.073938
14:30:00;0.006847;0.075237
14:45:00;0.009602;0.070223
15:00:00;0.013086;0.067313
15:15:00;0.017704;0.063917
15:30:00;0.023453;0.063678
15:45:00;0.030337;0.052836
16:00:00;0.038111;0.053487
16:15:00;0.047341;0.056242
16:30:00;0.057381;0.058026
16:45:00;0.068797;0.062886
17:00:00;0.080293;0.059734
17:15:00;0.092195;0.061194
17:30:00;0.104824;0.060307
17:45:00;0.117374;0.062010
18:00:00;0.127980;0.059829
18:15:00;0.138344;0.061451
18:30:00;0.148626;0.064450
18:45:00;0.157047;0.074166
19:00:00;0.161584;0.075465
19:15:00;0.163611;0.078624
19:30:00;0.164991;0.082190
19:45:00;0.166288;0.085511
20:00:00;0.167183;0.083168
20:15:00;0.164759;0.078073
20:30:00;0.159420;0.075162
20:45:00;0.152220;0.043601
21:00:00;0.145264;0.041823
21:15:00;0.137335;0.038833
21:30:00;0.128193;0.036975
21:45:00;0.118484;0.021276
22:00:00;0.108937;0.020632
22:15:00;0.099876;0.019988
22:30:00;0.090329;0.020963
22:45:00;0.081025;0.014978
23:00:00;0.071963;0.014415
23:15:00;0.062416;0.013285
23:30:00;0.053193;0.011994
23:45:00;0.043646;0.007465
;;
