,index,zeit,kapazitaet,ladezustand,ladetyp,nr
0,142,2023-01-01 23:50:00,840,0.2612402699111389,NCS,3
1,151,2023-01-01 22:15:00,720,0.2563283777990114,NCS,2
2,165,2023-01-01 21:35:00,840,0.26670453688178913,NCS,3
3,168,2023-01-01 21:35:00,720,0.11725873270362297,NCS,2
4,172,2023-01-01 20:40:00,840,0.07903624554308676,NCS,3
5,174,2023-01-01 21:55:00,720,0.12887015323269702,NCS,2
6,177,2023-01-01 22:00:00,840,0.11911203590702531,NCS,3
7,181,2023-01-01 21:20:00,600,0.326830373287303,NCS,1
8,186,2023-01-01 20:00:00,960,0.3564296525493612,NCS,4
9,187,2023-01-01 20:00:00,720,0.2421462947064132,NCS,2
10,194,2023-01-01 11:35:00,960,0.2215379584906073,MCS,4
11,201,2023-01-01 21:30:00,720,0.13679077898427608,NCS,2
12,207,2023-01-01 23:50:00,960,0.17068205840798523,NCS,4
13,209,2023-01-01 21:15:00,600,0.22284440566588387,NCS,1
14,220,2023-01-01 22:25:00,720,0.15620823517982657,NCS,2
15,227,2023-01-01 19:40:00,600,0.12414359865736822,NCS,1
16,233,2023-01-01 21:25:00,960,0.18315184151190567,NCS,4
17,235,2023-01-01 21:35:00,840,0.2520969409423841,NCS,3
18,241,2023-01-01 20:20:00,600,0.27940228217292273,MCS,1
19,242,2023-01-01 23:00:00,600,0.06698992711958236,NCS,1
20,243,2023-01-01 21:35:00,840,0.07726655707069761,NCS,3
21,247,2023-01-01 22:10:00,960,0.1424663222687569,NCS,4
22,248,2023-01-01 21:00:00,960,0.2811662650159739,NCS,4
23,249,2023-01-01 22:10:00,960,0.2159066833352139,NCS,4
24,253,2023-01-01 19:40:00,960,0.3015217079046231,NCS,4
25,256,2023-01-01 20:45:00,960,0.39359440863823475,NCS,4
26,257,2023-01-01 11:10:00,600,0.09356502921784704,MCS,1
27,258,2023-01-01 22:35:00,720,0.3107202779579459,NCS,2
28,263,2023-01-01 20:50:00,840,0.07267659382566188,NCS,3
29,266,2023-01-01 19:40:00,840,0.3720311595988798,MCS,3
